"","air_yards","qb_hit_observed","posteam","id"
"242",8,0,"LA",6
"243",4,0,"ATL",25
"244",19,0,"CHI",5
"245",37,0,"LAC",17
"246",11,0,"KC",8
"247",9,0,"LA",6
"248",3,0,"PHI",26
"249",3,0,"ARI",2
"250",21,0,"GB",14
"251",32,0,"BAL",4
"252",0,0,"NO",13
"253",1,0,"ATL",25
"254",0,0,"GB",14
"255",13,1,"NYJ",23
"256",0,0,"TB",9
"257",4,0,"DAL",10
"258",8,1,"CAR",24
"259",5,0,"BUF",27
"260",4,0,"DEN",12
"261",3,0,"CIN",22
"262",18,0,"LAC",17
"263",9,0,"SEA",30
"264",5,0,"MIN",21
"265",0,0,"CLE",7
"266",17,0,"HOU",15
"267",3,0,"DEN",12
"268",4,0,"CAR",24
"269",4,0,"CAR",24
"270",5,0,"KC",8
"271",15,0,"PHI",26
"272",29,0,"WAS",18
"273",4,0,"LAC",17
"274",9,1,"IND",29
"275",6,0,"PIT",28
"276",10,0,"LAC",17
"277",45,1,"GB",14
"278",5,0,"DEN",12
"279",10,0,"CLE",7
"280",5,0,"LA",6
"281",8,0,"DEN",12
"282",5,0,"ARI",2
"283",5,0,"NE",19
"284",11,0,"ARI",2
"285",11,0,"MIA",20
"286",4,0,"ATL",25
"287",1,0,"DAL",10
"288",4,0,"NO",13
"289",4,0,"GB",14
"290",9,0,"HOU",15
"291",6,0,"NYG",11
"292",14,0,"IND",29
"293",3,0,"TEN",1
"294",21,1,"NYJ",23
"295",16,0,"PIT",28
"296",8,0,"SF",32
"297",9,0,"MIA",20
"298",5,0,"CAR",24
"299",1,0,"GB",14
"300",9,1,"NYG",11
"301",0,0,"CIN",22
"302",8,0,"TB",9
"303",3,0,"ATL",25
"304",19,1,"CIN",22
"305",10,0,"SEA",30
"306",16,0,"TEN",1
"307",7,1,"PHI",26
"308",26,0,"NYG",11
"309",11,0,"LAC",17
"310",17,0,"LV",3
"311",2,0,"GB",14
"312",4,0,"DAL",10
"313",28,0,"CHI",5
"314",6,1,"NO",13
"315",41,0,"CIN",22
"316",3,0,"BAL",4
"317",28,1,"NE",19
"318",1,0,"HOU",15
"319",17,0,"CIN",22
"320",24,0,"NO",13
"321",3,1,"NO",13
"322",12,0,"SF",32
"323",6,0,"ATL",25
"324",13,0,"DAL",10
"325",14,0,"LV",3
"326",7,0,"NO",13
"327",1,1,"WAS",18
"328",12,0,"NYG",11
"329",25,0,"NE",19
"330",6,0,"WAS",18
"331",13,0,"NYG",11
"332",1,0,"BUF",27
"333",3,0,"MIA",20
"334",11,0,"BAL",4
"335",2,0,"NYJ",23
"336",6,1,"LV",3
"337",3,0,"NO",13
"338",6,0,"BUF",27
"339",1,0,"MIN",21
"340",1,0,"NO",13
"341",14,0,"CHI",5
"342",16,0,"LAC",17
"343",4,0,"DAL",10
"344",7,0,"DAL",10
"345",0,0,"MIA",20
"346",1,0,"KC",8
"347",5,0,"CLE",7
"348",11,0,"JAX",16
"349",0,0,"PIT",28
"350",5,0,"NYG",11
"351",12,1,"DET",31
"352",11,0,"LAC",17
"353",6,0,"JAX",16
"354",0,0,"PIT",28
"355",6,0,"JAX",16
"356",3,0,"LV",3
"357",17,0,"JAX",16
"358",20,0,"LV",3
"359",5,0,"CIN",22
"360",9,0,"TB",9
"361",3,0,"BUF",27
"362",0,0,"BUF",27
"363",2,0,"PHI",26
"364",4,0,"TB",9
"365",22,1,"BAL",4
"366",3,0,"BAL",4
"367",2,0,"MIN",21
"368",5,0,"GB",14
"369",22,0,"IND",29
"370",4,0,"DAL",10
"371",1,0,"KC",8
"372",40,0,"CLE",7
"373",14,0,"KC",8
"374",8,0,"GB",14
"375",2,0,"LAC",17
"376",3,0,"DET",31
"377",5,0,"CAR",24
"378",11,0,"PIT",28
"379",0,0,"IND",29
"380",5,0,"LA",6
"381",35,0,"DAL",10
"382",3,1,"DET",31
"383",15,0,"IND",29
"384",22,0,"LA",6
"385",1,0,"MIN",21
"386",23,0,"DAL",10
"387",3,0,"ATL",25
"388",8,0,"IND",29
"389",4,0,"ARI",2
"390",3,1,"BUF",27
"391",2,0,"BUF",27
"392",12,0,"JAX",16
"393",4,0,"NYJ",23
"394",4,0,"NE",19
"395",1,0,"SF",32
"396",12,0,"TB",9
"397",6,0,"TEN",1
"398",3,0,"IND",29
"399",21,0,"LV",3
"400",5,0,"ARI",2
"401",8,0,"SF",32
"402",8,0,"BAL",4
"403",27,0,"SEA",30
"404",4,0,"NO",13
"405",4,0,"KC",8
"406",2,0,"CAR",24
"407",2,0,"DET",31
"408",31,0,"MIN",21
"409",1,0,"KC",8
"410",18,1,"NE",19
"411",2,0,"PHI",26
"412",3,0,"DEN",12
"413",3,0,"CLE",7
"414",3,0,"NE",19
"415",4,0,"CIN",22
"416",5,0,"NYG",11
"417",17,0,"PIT",28
"418",4,0,"BAL",4
"419",2,0,"LV",3
"420",14,0,"NYJ",23
"421",4,0,"LA",6
"422",23,1,"BUF",27
"423",13,0,"KC",8
"424",5,0,"HOU",15
"425",25,1,"DAL",10
"426",37,0,"DAL",10
"427",5,0,"CAR",24
"428",16,0,"HOU",15
"429",12,0,"CIN",22
"430",0,0,"DEN",12
"431",46,0,"LA",6
"432",9,0,"KC",8
"433",13,0,"MIN",21
"434",1,0,"ATL",25
"435",5,0,"NYG",11
"436",12,0,"WAS",18
"437",8,0,"NE",19
"438",24,0,"NYJ",23
"439",16,0,"CAR",24
"440",10,0,"TB",9
"441",4,0,"NYJ",23
"442",14,0,"NE",19
"443",5,0,"NE",19
"444",5,0,"NO",13
"445",17,0,"TB",9
"446",14,0,"CIN",22
"447",6,0,"MIA",20
"448",18,0,"MIA",20
"449",50,0,"KC",8
"450",8,0,"TEN",1
"451",29,0,"BAL",4
"452",14,0,"LA",6
"453",6,0,"LA",6
"454",16,0,"NYJ",23
"455",5,0,"LA",6
"456",21,0,"LA",6
"457",3,0,"CLE",7
"458",21,0,"TEN",1
"459",5,0,"TB",9
"460",11,0,"LAC",17
"461",12,0,"BUF",27
"462",6,0,"LV",3
"463",7,0,"KC",8
"464",4,0,"HOU",15
"465",1,0,"NO",13
"466",1,0,"LV",3
"467",23,0,"SF",32
"468",11,0,"SEA",30
"469",8,0,"CLE",7
"470",7,0,"NE",19
"471",5,0,"LV",3
"472",4,0,"LV",3
"473",21,1,"NE",19
"474",0,0,"SEA",30
"475",23,0,"LAC",17
